date_time,is_holiday,humidity,wind_speed,wind_direction,visibility_in_miles,dew_point,temperature,rain_p_h,snow_p_h,clouds_all,weather_type,air_pollution_index,traffic_volume
2012-10-02 09:00:00,None,89,2,329,1,1,288.28,0.0,0.0,40,Clouds,121,5545
2012-10-02 10:00:00,None,67,3,330,1,1,289.36,0.0,0.0,75,Clouds,178,4516
2012-10-02 11:00:00,None,66,3,329,2,2,289.58,0.0,0.0,90,Clouds,113,4767
2012-10-02 12:00:00,None,66,3,329,5,5,290.13,0.0,0.0,90,Clouds,20,5026
2012-10-02 13:00:00,None,65,3,329,7,7,291.14,0.0,0.0,75,Clouds,281,4918
2012-10-02 14:00:00,None,65,3,328,6,6,291.72,0.0,0.0,1,Clear,23,5181
2012-10-02 15:00:00,None,64,3,328,7,7,293.17,0.0,0.0,1,Clear,184,5584
2012-10-02 16:00:00,None,64,3,327,7,7,293.86,0.0,0.0,1,Clear,167,6015
2012-10-02 17:00:00,None,63,3,327,6,6,294.14,0.0,0.0,20,Clouds,119,5791
2012-10-02 18:00:00,None,63,3,326,3,3,293.1,0.0,0.0,20,Clouds,161,4770
2012-10-02 19:00:00,None,62,3,326,8,8,290.97,0.0,0.0,20,Clouds,243,3539
2012-10-02 20:00:00,None,62,3,326,5,5,289.38,0.0,0.0,1,Clear,150,2784
2012-10-02 21:00:00,None,61,4,325,4,4,288.61,0.0,0.0,1,Clear,128,2361
2012-10-02 22:00:00,None,61,4,325,7,7,287.16,0.0,0.0,1,Clear,18,1529
2012-10-02 23:00:00,None,60,4,324,5,5,285.45,0.0,0.0,1,Clear,186,963
2012-10-03 00:00:00,None,60,4,324,2,2,284.63,0.0,0.0,1,Clear,58,506
2012-10-03 01:00:00,None,59,4,324,6,6,283.47,0.0,0.0,1,Clear,158,321
2012-10-03 02:00:00,None,59,4,323,1,1,281.18,0.0,0.0,1,Clear,166,273
2012-10-03 03:00:00,None,58,4,323,7,7,281.09,0.0,0.0,1,Clear,101,367
2012-10-03 04:00:00,None,58,4,322,4,4,279.53,0.0,0.0,1,Clear,161,814
2012-10-03 05:00:00,None,57,4,322,3,3,278.62,0.0,0.0,1,Clear,179,2718
2012-10-03 06:00:00,None,57,4,322,4,4,278.23,0.0,0.0,1,Clear,93,5673
2012-10-03 08:00:00,None,56,4,321,4,4,278.12,0.0,0.0,1,Clear,57,6511
2012-10-03 09:00:00,None,56,4,321,4,4,282.48,0.0,0.0,1,Clear,226,5471
2012-10-03 12:00:00,None,55,4,320,3,3,291.97,0.0,0.0,1,Clear,86,5097
2012-10-03 13:00:00,None,55,4,320,1,1,293.23,0.0,0.0,1,Clear,52,4887
2012-10-03 14:00:00,None,55,4,320,4,4,294.31,0.0,0.0,1,Clear,273,5337
2012-10-03 15:00:00,None,55,5,350,3,3,295.17,0.0,0.0,1,Clear,72,5692
2012-10-03 16:00:00,None,55,4,320,1,1,295.13,0.0,0.0,1,Clear,254,6137
2012-10-03 18:00:00,None,55,5,330,4,4,293.66,0.0,0.0,20,Clouds,129,4623
2012-10-03 19:00:00,None,48,7,330,1,1,290.65,0.0,0.0,20,Clouds,271,3591
2012-10-03 20:00:00,None,42,6,320,1,1,288.19,0.0,0.0,20,Clouds,259,2898
2012-10-03 21:00:00,None,33,5,340,8,8,287.1,0.0,0.0,1,Clear,61,2637
2012-10-03 22:00:00,None,30,5,340,4,4,286.25,0.0,0.0,1,Clear,286,1777
2012-10-03 23:00:00,None,33,3,340,9,9,285.26,0.0,0.0,1,Clear,151,1015
2012-10-04 00:00:00,None,32,5,350,8,8,284.55,0.0,0.0,1,Clear,260,598
2012-10-04 01:00:00,None,37,5,350,5,5,283.47,0.0,0.0,1,Clear,234,369
2012-10-04 02:00:00,None,36,4,330,5,5,283.17,0.0,0.0,1,Clear,162,312
2012-10-04 03:00:00,None,39,6,340,1,1,282.04,0.0,0.0,1,Clear,65,367
2012-10-04 04:00:00,None,41,5,340,1,1,281.69,0.0,0.0,1,Clear,18,835
2012-10-04 05:00:00,None,44,5,350,4,4,281.32,0.0,0.0,1,Clear,250,2726
2012-10-04 06:00:00,None,44,4,340,4,4,280.74,0.0,0.0,1,Clear,173,5689
2012-10-04 07:00:00,None,47,4,350,2,2,280.57,0.0,0.0,1,Clear,142,6990
2012-10-04 08:00:00,None,50,4,360,5,5,281.86,0.0,0.0,1,Clear,90,5985
2012-10-04 09:00:00,None,75,0,0,6,6,284.98,0.0,0.0,1,Clear,144,5309
2012-10-04 10:00:00,None,57,0,0,8,8,289.18,0.0,0.0,1,Clear,143,4603
2012-10-04 11:00:00,None,70,1,320,1,1,291.55,0.0,0.0,1,Clear,61,4884
2012-10-04 12:00:00,None,93,0,0,4,4,294.97,0.0,0.0,1,Clear,211,5104
2012-10-04 13:00:00,None,84,0,0,6,6,296.38,0.0,0.0,1,Clear,207,5178
2012-10-04 14:00:00,None,75,0,0,7,7,297.32,0.0,0.0,1,Clear,115,5501
2012-10-04 15:00:00,None,57,0,0,2,2,298.17,0.0,0.0,1,Clear,253,5713
2012-10-04 16:00:00,None,53,1,63,5,5,298.06,0.0,0.0,20,Clouds,242,6292
2012-10-04 17:00:00,None,49,2,126,5,5,297.67,0.0,0.0,20,Clouds,23,6057
2012-10-04 18:00:00,None,45,3,190,5,5,296.36,0.0,0.0,40,Clouds,234,4907
2012-10-04 19:00:00,None,37,3,170,6,6,293.85,0.0,0.0,40,Clouds,220,3503
2012-10-04 20:00:00,None,28,3,190,5,5,292.43,0.0,0.0,40,Clouds,210,3037
2012-10-04 21:00:00,None,30,2,0,7,7,291.77,0.0,0.0,75,Clouds,174,2822
2012-10-04 22:00:00,None,26,4,140,4,4,291.36,0.0,0.0,75,Clouds,58,1992
2012-10-04 23:00:00,None,26,3,170,1,1,291.12,0.0,0.0,75,Clouds,142,1166
2012-10-05 00:00:00,None,26,3,200,6,6,290.63,0.0,0.0,75,Clouds,79,627
2012-10-05 01:00:00,None,30,3,180,9,9,290.46,0.0,0.0,40,Clouds,128,388
2012-10-05 03:00:00,None,34,2,150,4,4,289.26,0.0,0.0,0,Clear,148,368
2012-10-05 05:00:00,None,41,2,140,7,7,283.21,0.0,0.0,75,Clouds,252,2489
2012-10-05 06:00:00,None,47,3,140,3,3,282.24,0.0,0.0,90,Clouds,190,5537
2012-10-05 07:00:00,None,47,2,160,9,9,281.69,0.0,0.0,90,Clouds,192,6628
2012-10-05 08:00:00,None,47,2,160,9,9,280.57,0.0,0.0,90,Clouds,59,5534
2012-10-05 09:00:00,None,54,2,130,6,6,280.02,0.0,0.0,75,Clouds,190,5403
2012-10-05 10:00:00,None,71,0,0,5,5,280.11,0.0,0.0,75,Clouds,134,4770
2012-10-05 11:00:00,None,58,2,110,8,8,280.0,0.0,0.0,90,Clouds,240,5217
2012-10-05 12:00:00,None,76,2,150,9,9,280.53,0.0,0.0,90,Clouds,12,5870
2012-10-05 13:00:00,None,71,3,110,5,5,281.43,0.0,0.0,75,Clouds,182,5967
2012-10-05 14:00:00,None,71,1,110,5,5,281.78,0.0,0.0,90,Clouds,90,6108
2012-10-05 15:00:00,None,76,2,110,3,3,281.91,0.0,0.0,90,Clouds,284,6128
2012-10-05 16:00:00,None,76,2,120,2,2,281.73,0.0,0.0,90,Clouds,228,6069
2012-10-05 17:00:00,None,71,1,110,9,9,281.42,0.0,0.0,90,Clouds,149,6169
2012-10-05 18:00:00,None,54,0,0,8,8,280.87,0.0,0.0,90,Clouds,72,5384
2012-10-05 19:00:00,None,45,2,160,2,2,280.15,0.0,0.0,90,Clouds,36,4063
2012-10-05 20:00:00,None,35,2,0,6,6,279.78,0.0,0.0,90,Clouds,205,3364
2012-10-05 21:00:00,None,27,4,160,9,9,279.65,0.0,0.0,75,Clouds,161,2971
2012-10-05 22:00:00,None,25,4,180,4,4,279.22,0.0,0.0,40,Clouds,261,2450
2012-10-05 23:00:00,None,25,4,160,4,4,279.06,0.0,0.0,40,Clouds,257,1832
2012-10-06 00:00:00,None,23,5,150,6,6,278.81,0.0,0.0,90,Clouds,163,1231
2012-10-06 01:00:00,None,23,5,160,4,4,278.55,0.0,0.0,90,Clouds,219,718
2012-10-06 02:00:00,None,25,4,150,7,7,278.59,0.0,0.0,90,Clouds,31,545
2012-10-06 04:00:00,None,32,2,140,9,9,276.99,0.0,0.0,75,Clouds,79,411
2012-10-06 05:00:00,None,30,3,130,7,7,276.35,0.0,0.0,20,Clouds,28,688
2012-10-06 06:00:00,None,37,3,130,1,1,275.4,0.0,0.0,1,Clear,110,1352
2012-10-06 07:00:00,None,42,3,140,9,9,275.17,0.0,0.0,1,Clear,171,2072
2012-10-06 08:00:00,None,45,5,140,3,3,274.99,0.0,0.0,1,Clear,148,3342
2012-10-06 09:00:00,None,45,5,140,2,2,275.09,0.0,0.0,40,Clouds,97,4258
2012-10-06 10:00:00,None,48,5,140,2,2,276.88,0.0,0.0,20,Clouds,46,4861
